M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle
1,256,2048,False,torch.bfloat16,torch.bfloat16,False,False
2,256,2048,False,torch.bfloat16,torch.bfloat16,False,False
4,256,2048,False,torch.bfloat16,torch.bfloat16,False,False
8,256,2048,False,torch.bfloat16,torch.bfloat16,False,False
16,256,2048,False,torch.bfloat16,torch.bfloat16,False,False
32,256,2048,False,torch.bfloat16,torch.bfloat16,False,False
48,256,2048,False,torch.bfloat16,torch.bfloat16,False,False
64,256,2048,False,torch.bfloat16,torch.bfloat16,False,False
96,256,2048,False,torch.bfloat16,torch.bfloat16,False,False
128,256,2048,False,torch.bfloat16,torch.bfloat16,False,False
256,256,2048,False,torch.bfloat16,torch.bfloat16,False,False
512,256,2048,False,torch.bfloat16,torch.bfloat16,False,False
1024,256,2048,False,torch.bfloat16,torch.bfloat16,False,False
2048,256,2048,False,torch.bfloat16,torch.bfloat16,False,False
4096,256,2048,False,torch.bfloat16,torch.bfloat16,False,False
1,1024,2048,False,torch.bfloat16,torch.bfloat16,False,False
2,1024,2048,False,torch.bfloat16,torch.bfloat16,False,False
4,1024,2048,False,torch.bfloat16,torch.bfloat16,False,False
8,1024,2048,False,torch.bfloat16,torch.bfloat16,False,False
16,1024,2048,False,torch.bfloat16,torch.bfloat16,False,False
32,1024,2048,False,torch.bfloat16,torch.bfloat16,False,False
48,1024,2048,False,torch.bfloat16,torch.bfloat16,False,False
64,1024,2048,False,torch.bfloat16,torch.bfloat16,False,False
96,1024,2048,False,torch.bfloat16,torch.bfloat16,False,False
128,1024,2048,False,torch.bfloat16,torch.bfloat16,False,False
256,1024,2048,False,torch.bfloat16,torch.bfloat16,False,False
512,1024,2048,False,torch.bfloat16,torch.bfloat16,False,False
1024,1024,2048,False,torch.bfloat16,torch.bfloat16,False,False
2048,1024,2048,False,torch.bfloat16,torch.bfloat16,False,False
4096,1024,2048,False,torch.bfloat16,torch.bfloat16,False,False
1,2048,512,False,torch.bfloat16,torch.bfloat16,False,False
2,2048,512,False,torch.bfloat16,torch.bfloat16,False,False
4,2048,512,False,torch.bfloat16,torch.bfloat16,False,False
8,2048,512,False,torch.bfloat16,torch.bfloat16,False,False
16,2048,512,False,torch.bfloat16,torch.bfloat16,False,False
32,2048,512,False,torch.bfloat16,torch.bfloat16,False,False
48,2048,512,False,torch.bfloat16,torch.bfloat16,False,False
64,2048,512,False,torch.bfloat16,torch.bfloat16,False,False
96,2048,512,False,torch.bfloat16,torch.bfloat16,False,False
128,2048,512,False,torch.bfloat16,torch.bfloat16,False,False
256,2048,512,False,torch.bfloat16,torch.bfloat16,False,False
512,2048,512,False,torch.bfloat16,torch.bfloat16,False,False
1024,2048,512,False,torch.bfloat16,torch.bfloat16,False,False
2048,2048,512,False,torch.bfloat16,torch.bfloat16,False,False
4096,2048,512,False,torch.bfloat16,torch.bfloat16,False,False
1,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False
2,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False
4,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False
8,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False
16,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False
32,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False
48,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False
64,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False
96,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False
128,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False
256,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False
512,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False
1024,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False
2048,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False
4096,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False
1,9216,2048,False,torch.bfloat16,torch.bfloat16,False,False
2,9216,2048,False,torch.bfloat16,torch.bfloat16,False,False
4,9216,2048,False,torch.bfloat16,torch.bfloat16,False,False
8,9216,2048,False,torch.bfloat16,torch.bfloat16,False,False
16,9216,2048,False,torch.bfloat16,torch.bfloat16,False,False
32,9216,2048,False,torch.bfloat16,torch.bfloat16,False,False
48,9216,2048,False,torch.bfloat16,torch.bfloat16,False,False
64,9216,2048,False,torch.bfloat16,torch.bfloat16,False,False
96,9216,2048,False,torch.bfloat16,torch.bfloat16,False,False
128,9216,2048,False,torch.bfloat16,torch.bfloat16,False,False
256,9216,2048,False,torch.bfloat16,torch.bfloat16,False,False
512,9216,2048,False,torch.bfloat16,torch.bfloat16,False,False
1024,9216,2048,False,torch.bfloat16,torch.bfloat16,False,False
2048,9216,2048,False,torch.bfloat16,torch.bfloat16,False,False
4096,9216,2048,False,torch.bfloat16,torch.bfloat16,False,False
1,12352,2048,False,torch.bfloat16,torch.bfloat16,False,False
2,12352,2048,False,torch.bfloat16,torch.bfloat16,False,False
4,12352,2048,False,torch.bfloat16,torch.bfloat16,False,False
8,12352,2048,False,torch.bfloat16,torch.bfloat16,False,False
16,12352,2048,False,torch.bfloat16,torch.bfloat16,False,False
32,12352,2048,False,torch.bfloat16,torch.bfloat16,False,False
48,12352,2048,False,torch.bfloat16,torch.bfloat16,False,False
64,12352,2048,False,torch.bfloat16,torch.bfloat16,False,False
96,12352,2048,False,torch.bfloat16,torch.bfloat16,False,False
128,12352,2048,False,torch.bfloat16,torch.bfloat16,False,False
256,12352,2048,False,torch.bfloat16,torch.bfloat16,False,False
512,12352,2048,False,torch.bfloat16,torch.bfloat16,False,False
1024,12352,2048,False,torch.bfloat16,torch.bfloat16,False,False
2048,12352,2048,False,torch.bfloat16,torch.bfloat16,False,False
4096,12352,2048,False,torch.bfloat16,torch.bfloat16,False,False
1,248320,2048,False,torch.bfloat16,torch.bfloat16,False,False
2,248320,2048,False,torch.bfloat16,torch.bfloat16,False,False
4,248320,2048,False,torch.bfloat16,torch.bfloat16,False,False
8,248320,2048,False,torch.bfloat16,torch.bfloat16,False,False
16,248320,2048,False,torch.bfloat16,torch.bfloat16,False,False
32,248320,2048,False,torch.bfloat16,torch.bfloat16,False,False
48,248320,2048,False,torch.bfloat16,torch.bfloat16,False,False
64,248320,2048,False,torch.bfloat16,torch.bfloat16,False,False
96,248320,2048,False,torch.bfloat16,torch.bfloat16,False,False
128,248320,2048,False,torch.bfloat16,torch.bfloat16,False,False
256,248320,2048,False,torch.bfloat16,torch.bfloat16,False,False
512,248320,2048,False,torch.bfloat16,torch.bfloat16,False,False
1024,248320,2048,False,torch.bfloat16,torch.bfloat16,False,False
2048,248320,2048,False,torch.bfloat16,torch.bfloat16,False,False
4096,248320,2048,False,torch.bfloat16,torch.bfloat16,False,False
